BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,NEW DIST
650,1,1,3,,1,1,3,226500017,PLAZA AZTECA,928,BEAR CORBITT ROAD,NEWARK,19702,7/11/2022,1060.6366666666665,0,39.631134,-75.660544,1060.6366666666665,0,73
650,1,1,2,,1,1,2,166500225,HIBACHI GRILL & SUPREME SUSHI BUFFET,4403,KIRKWOOD HIGHWAY,WILMINGTON,19808,7/29/2016,729.1733333333333,0,39.72686892857143,-75.65189109,729.1733333333333,0,107
650,1,1,5,,1,1,5,216500002,KUNGFU HOTPOT ,230,EAST MAIN STREET,NEWARK,19711,1/4/2021,336.4433333333333,0,39.68375608623192,-75.74510077,336.4433333333333,0,2
650,1,1,6,,1,1,6,216500004,FREDDY'S WINGS AND WRAPS ,174,EAST MAIN STREET,NEWARK,19711-7309,1/11/2021,220,0,39.683651074852165,-75.74628158,220,0,2
650,1,1,1,,1,1,1,236500023,MISSION BBQ - WILMINGTON,3662,CONCORD PIKE,WILMINGTON,19803,7/17/2023,550.0433333333333,80.16,39.80402653837631,-75.54830195,550.0433333333333,80.16,124
650,1,2,2,,1,2,2,65094609,LEE'S HUNAN,971,BEARDS HILL ROAD,ABERDEEN,21001,5/3/1990,244.20666666666665,0,39.5246324,-76.1801638,244.20666666666665,0,4
650,1,2,3,,1,2,3,650820,LA TOLTECA ABERDEEN,984,HOSPITALITY WAY,ABERDEEN,21001-1779,8/25/2011,666.69,0,39.52385341625908,-76.18447638,666.69,0,86
650,1,2,5,,1,2,5,6501052,LEE'S ASIAN BISTRO,1408,HANDLIR DRIVE,BEL AIR,21015-6600,9/12/2013,222.71666666666667,12.716666666666667,39.48095684052067,-76.25439228,222.71666666666667,12.716666666666667,98
650,1,3,4,,1,3,4,216500019,VENETIAN ITALIAN EATERY,1901,TREE TOP DRIVE,EDGEWOOD,21040-1632,6/4/2021,541.4933333333333,20.833333333333332,39.434716,-76.313933,541.4933333333333,20.833333333333332,28
650,1,3,5,,1,3,5,156500405,LA TOLTECA JOPPA,1411,MOUNTAIN ROAD,EDGEWOOD,21085,12/3/2015,519.23,0,39.43920765,-76.34498209,519.23,0,445
650,1,3,3,,1,3,3,176500019,ISLAND SPICE CUISINE,2120,EMMORTON PARK ROAD,EDGEWOOD,21040-1066,5/24/2017,612.0166666666667,325.25,39.45267831104635,-76.30969917,612.0166666666667,325.25,21
650,2,4,3,,2,4,3,650596,CHOPSTIX GOURMET FOREST HILL,1523,ROCK SPRING ROAD,FOREST HILL,21050-2855,11/25/2009,269.32,0,39.56143385,-76.37054512,269.32,0,2
650,1,2,4,,1,2,4,650827,LA TOLTECA BEL AIR,2350,EAST CHURCHVILLE ROAD,BEL AIR,21015-1721,9/7/2011,287.42333333333335,0,39.555704,-76.274603,287.42333333333335,0,85
650,2,4,2,,2,4,2,650740,ENOTRIA,2,NEWPORT DRIVE,FOREST HILL,21050-1642,1/19/2011,397.35,27.35,39.578479,-76.385217,397.35,27.35,23
