BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,Stop ID,NEW DIST
650,2,17,4,,16.0,1,4,650996,LEMON N' GINGER,3491,MERCHANT BOULEVARD,ABINGDON,21009,2013-03-29 00:00:00,347.62,0.0,39.46703525,-76.30778879280837,347.62,0.0,114,33.0
650,3,18,6,,17.0,1,6,65065391,CHINA WOK,7916,HONEYGO BOULEVARD,NOTTINGHAM,21236,2004-06-15 00:00:00,181.0,0.0,39.3741892,-76.4722308,181.0,0.0,115,27.0
650,1,20,2,,39.0,1,2,236500011,LATITUDE SEAFOOD,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015-6094,2023-03-06 00:00:00,1663.4333333333332,674.4333333333333,39.49734305,-76.32561231932084,1663.4333333333332,674.4333333333333,116,1.0
650,1,4,3,,3.0,1,3,246500003,AKIRA RAMEN BEL AIR,111,NORTH TOLLGATE ROAD,BEL AIR,21014,2024-01-09 00:00:00,92.23666666666666,0.0,39.524085125,-76.360048875,92.23666666666666,0.0,117,6.0
650,3,5,2,,44.0,1,2,246500007,FLOCK,1415,WASHINGTON BOULEVARD,BALTIMORE,21230-1830,2024-01-25 00:00:00,106.85,31.516666666666666,39.2792382,-76.63690598028236,106.85,31.516666666666666,118,33.0
650,2,11,1,,10.0,1,1,650585,KATANA SUSHI MT. AIRY,1311,SOUTH MAIN STREET,MT AIRY,21771-5330,2009-10-21 00:00:00,210.0,0.0,39.3667765,-77.16451552133154,210.0,0.0,119,0.0
650,2,11,5,,10.0,1,5,146500095,OLDE TOWN RESTAURANT,206,SOUTH MAIN STREET,MT AIRY,21771,2014-07-23 00:00:00,185.73333333333332,0.0,39.376213073789934,-77.15518158473427,185.73333333333332,0.0,120,15.0
650,2,11,2,,10.0,1,2,650729,MAMMA ANGELA,5,RIDGESIDE COURT,MT AIRY,21771,2010-11-23 00:00:00,100.06666666666666,0.0,39.36373987281489,-77.16465033360105,100.06666666666666,0.0,121,4.0
650,2,11,4,,10.0,1,4,650968,LEDO PIZZA OF MT. AIRY,520,EAST RIDGEVILLE BOULEVARD,MT AIRY,21771-5252,2013-01-17 00:00:00,175.0,0.0,39.36452093503843,-77.16234528968079,175.0,0.0,122,2.0
650,1,6,3,,45.0,1,3,176500034,IHOP CATONSVILLE,5525,BALTIMORE NATIONAL PIKE,CATONSVILLE,21228-1553,2017-12-22 00:00:00,180.6,90.3,39.2897385,-76.7225835,180.6,90.3,123,10.0
