BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG
650,01,19,03,650,01,19,03,166500206,TASTE OF TAJ,9810,BELAIR ROAD,PERRY HALL ,21128,04/29/2016,179.00,0.00
650,01,19,04,650,01,19,04,226500014,RAVAGE DELI,9636,BELAIR ROAD,NOTTINGHAM,21236,07/11/2022,240.00,0.00
650,01,19,05,650,01,19,05,650721,FRIENDLY'S PERRY HALL,9551,BELAIR ROAD,NOTTINGHAM,21236-1509,12/03/2010,323.40,140.39
650,01,19,06,650,01,19,06,196500015,EL SALTO - PERRY HALL,4335,EBENEZER ROAD,PERRY HALL ,21236-2143,05/16/2019,555.18,19.53
650,01,19,07,650,01,19,07,650890,YAMA SUSHI PERRY HALL,4347,EBENEZER ROAD,NOTTINGHAM,21236-2143,05/04/2012,190.00,0.00
650,02,01,01,650,02,01,01,6501054,LA TOLTECA COCKEYSVILLE,10010,YORK ROAD,COCKEYSVILLE,21030-3304,09/16/2013,284.18,0.00
650,02,01,02,650,02,01,02,156500107,ROYAL KITCHEN,9832,YORK ROAD,COCKEYSVILLE,21030-4914,03/26/2015,130.00,0.00
650,02,01,03,650,02,01,03,65092857,EDO SUSHI TIMONIUM,53,EAST PADONIA ROAD,TIMONIUM,21093,11/19/1997,185.43,0.00
650,02,01,04,650,02,01,04,156500046,CUVINO,61,EAST PADONIA ROAD,TIMONIUM,21093-2346,02/23/2015,597.96,0.00
650,02,01,05,650,02,01,05,216500009,KUNG FU 12 SZECHUAN - TIMONIUM,1427,YORK ROAD,TIMONIUM,21093,02/15/2021,473.84,0.00
650,02,02,01,650,02,02,01,65062066,LEDO PIZZA OF ELLICOTT CITY,8480,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21043,11/18/2002,635.00,231.93
650,02,02,02,650,02,02,02,156500402,ZEN GARDEN,10039,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21042,12/03/2015,68.33,0.00
650,02,02,03,650,02,02,03,226500028,BBQ CHICKEN,8801,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21043-4123,10/03/2022,258.36,0.00
650,02,02,04,650,02,02,04,216500027,KUNG FU TEA ,9210,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21042,08/06/2021,160.40,160.40
650,02,02,05,650,02,02,05,226500004,PHO 5UP - HANOVER,1350,DORSEY ROAD,HANOVER,21076-1433,01/24/2022,240.00,0.00
650,02,02,06,650,02,02,06,176500010,K POCHA,8801,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21043,03/30/2017,215.00,0.00
650,02,02,"07,04",650,02,02,"07,04",226500007,CHARM CITY BUFFET,2033,EAST JOPPA ROAD,PARKVILLE,21234,05/23/2022,1199.57,26.47
650,02,03,02,650,02,03,02,226500012,THE CRAZY MASON MILKSHAKE BAR,8225,MAIN STREET,ELLICOTT CITY,21043-4620,06/29/2022,314.93,17.93
650,02,03,03,650,02,03,03,186500038,UMI SUSHI,8167,MAIN STREET,ELLICOTT CITY,21043,12/28/2018,380.00,0.00
650,02,03,04,650,02,03,04,650496,CITY VIEW RESTAURANT,6700,SECURITY BOULEVARD,WOODLAWN,21207-4038,07/21/2008,486.20,42.20
650,02,03,05,650,02,03,05,650928,LAS VEGAS OF WOODLAWN,7091,SECURITY BOULEVARD,WOODLAWN,21244-2562,09/11/2012,240.00,0.00
650,02,03,06,650,02,03,06,6501012,NEW LIFE HEALTHY LIVING,7600,CLAYS LANE,WINDSOR MILL,21244-2003,05/31/2013,0.00,0.00
650,02,03,07,650,02,03,07,186500035,DOMINO'S PIZZA RANDALLSTOWN #4696,3502,BRENBROOK DRIVE,RANDALLSTOWN,21133-4902,12/17/2018,195.00,0.00
650,02,03,"01,03",650,02,03,"01,03",65093606,DOUBLE T DINER - ELLICOTT CITY,10055,BALTIMORE NATIONAL PIKE,ELLICOTT CITY,21042-3611,06/29/1999,2945.69,1849.63
650,02,04,03,650,02,04,03,206500014,MISSION BBQ - TOWSON,740,YORK ROAD,TOWSON,21204-2503,11/05/2020,713.08,136.57
650,02,04,"01,01",650,02,04,"01,01",650466,NAUTILUS DINER,2047,YORK ROAD,TIMONIUM,21093-4230,02/26/2008,694.10,9.22
650,02,04,"02,02",650,02,04,"02,02",650399,BLUE STONE RESTAURANT,11,WEST AYLESBURY ROAD,TIMONIUM,21093-4102,02/16/2007,2848.26,27.35
650,02,05,08,650,02,05,08,6501024,COAL FIRE PIZZA HUNT VALLEY,112,SHAWAN ROAD,COCKEYSVILLE,21030,06/17/2013,748.67,395.17
650,02,05,09,650,02,05,09,226500031,MISSION BBQ - HUNT VALLEY,128,"SHAWAN ROAD, STE 103",HUNT VALLEY,21030,12/19/2022,717.24,107.40
650,02,05,10,650,02,05,10,226500027,IZAKAYA 68,100,SHAWAN ROAD,HUNT VALLEY,21030,09/05/2022,351.96,0.00
650,02,05,11,650,02,05,11,65050465,GREEN LEAF RESTAURANT,11313,YORK ROAD,COCKEYSVILLE,21030,11/02/2004,301.08,0.00
650,02,05,12,650,02,05,12,650982,FUSION,10752,YORK ROAD,COCKEYSVILLE,21030-2121,03/12/2013,301.54,19.30
650,02,05,13,650,02,05,13,650768,CAFE SPICE INDIA CUISINE,10540,YORK ROAD,COCKEYSVILLE,21030,03/15/2011,341.22,0.00
650,02,05,14,650,02,05,14,650437,VITO'S RESTAURANT,10249,YORK ROAD,COCKEYSVILLE,21030,08/27/2007,529.47,136.70
650,02,05,15,650,02,05,15,176500023,MIKU SUSHI & STEAKHOUSE,584,CRANBROOK ROAD,COCKEYSVILLE,21030-3702,06/27/2017,225.00,0.00
650,02,06,01,650,02,06,01,226500018,AKIRA RAMEN - TOWSON,1,EAST JOPPA ROAD,TOWSON,21286,07/20/2022,388.04,0.00
650,02,06,02,650,02,06,02,216500041,SWEETGREEN -TOWSON,1,EAST JOPPA ROAD,TOWSON,21286,11/30/2021,790.36,552.24
650,02,06,03,650,02,06,03,236500020,KUNG FU 12 SUSHI,416,YORK ROAD,TOWSON,21204,06/19/2023,0.00,0.00
650,02,06,04,650,02,06,04,196500005,NEW GENERATION HOT POT,413,YORK ROAD,TOWSON,21204-5124,01/23/2019,498.79,0.00
650,02,06,05,650,02,06,05,226500026,LEDO PIZZA TOWSON,1238,PUTTY HILL AVENUE,TOWSON,21286,09/28/2022,319.12,74.12
650,02,06,06,650,02,06,06,65050330,GLORY DAYS GRILL - TOWSON,1220,EAST JOPPA ROAD,TOWSON,21286,10/23/2002,1138.30,544.23
650,02,06,07,650,02,06,07,246500001,BIRRIA LOVE,1742,EAST JOPPA ROAD,PARKVILLE,21234-3620,01/09/2024,259.43,40.55
650,02,06,08,650,02,06,08,216500028,KABUTO - JOPPA ,8810,WALTHAM WOODS ROAD,PARKVILLE,21234-2402,08/12/2021,404.28,37.73
650,02,07,01,650,02,07,01,65093711,DOUBLE T DINER - CATONSVILLE,6300,BALTIMORE NATIONAL PIKE,CATONSVILLE,21228-3901,10/05/1999,1653.79,535.13
650,02,08,01,650,02,08,01,196500035,DOMINO'S PIZZA HARRISBURG,479,EISENHOWER BOULEVARD,HARRISBURG,17111-2302,12/17/2019,239.00,0.00
650,02,08,02,650,02,08,02,196500026,MISSION BBQ - CAMP HILL ,25,NORTH 32ND STREET,MECHANICSBURG,17011-2918,08/12/2019,1138.37,53.44
650,02,08,03,650,02,08,03,176500009,MISSION BBQ HARRISBURG,5045,JONESTOWN ROAD,HARRISBURG,17112-2922,03/29/2017,641.65,35.63
650,02,08,04,650,02,08,04,196500017,J&B'S GRILL ,14,NORTH MAIN STREET,SHREWSBURY,17361-1322,06/20/2019,222.35,0.00
650,02,08,05,650,02,08,05,176500014,ECHO FREZCO SHREWSBURY,634,SHREWSBURY COMMONS AVENUE,SHREWSBURY,17361,04/13/2017,215.00,0.00
650,02,09,08,650,02,09,08,166500205,CYPRIANA ,105,WEST 39TH STREET,BALTIMORE,21210,04/28/2016,866.85,127.85
650,02,09,09,650,02,09,09,166500242,DYLAN'S OYSTER CELLAR,3601,CHESTNUT AVENUE,BALTIMORE,21211-2530,10/25/2016,212.08,0.00
650,02,09,10,650,02,09,10,166500233,FIVE AND DIME ALE HOUSE,901,WEST 36TH STREET,BALTIMORE,21211,09/19/2016,0.00,0.00
650,02,09,11,650,02,09,11,65093180,SUZIE'S SOBA,1009,WEST 36TH STREET,BALTIMORE,21211-2416,07/14/1998,0.00,0.00
650,02,09,12,650,02,09,12,650387,GOLDEN WEST ,1105,WEST 36TH STREET,BALTIMORE,21211,12/12/2006,968.69,158.25
650,02,09,13,650,02,09,13,216500039,GRANO PASTA BAR,1031,W 36TH ST,BALTIMORE,21210,11/01/2021,246.91,0.00
650,02,09,14,650,02,09,14,6503727,THE WINE SOURCE,3601,ELM AVENUE,BALTIMORE,21211-2402,11/01/2001,130.00,0.00
650,02,09,15,650,02,09,15,186500012,18-8 SUSHI,727,WEST 40TH STREET,BALTIMORE,21211,05/03/2018,215.00,0.00
650,02,10,01,650,02,10,01,650866,YAMA SUSHI BAR BALTIMORE,1030,WEST 41ST STREET,BALTIMORE,21211,01/13/2012,269.92,0.00
650,02,10,02,650,02,10,02,206500003,THE WINE COLLECTIVE,1700,WEST 41ST STREET,BALTIMORE,21211-1431,01/17/2020,440.00,0.00
650,02,10,03,650,02,10,03,186500026,WOODY'S PUB GRUB,11,MARGARET AVENUE,ESSEX,21221-6704,09/21/2018,0.00,0.00
